aardvark,Aardvark
offshore,offshore
oft,maintes fois
often,souvent
ogle,lorgner
ogled,lorgné
ogling,lorgner
ogre,ogre
ogres,ogres
ogrish,ogrish
oh,Oh
ohio,Ohio
ohm,ohm
ohmic,ohmique
ohms,ohms
oil,pétrole
oilcloth,toile cirée
oiled,huilé
oiler,graisseur
oilers,huileurs
oilfield,gisement de pétrole
oilfields,champs de pétrole
oilier,plus huileux
oiliest,le plus gras
oiliness,onctuosité
oiling,graissage
oilman,pétrolier
oilmen,pétroliers
oilrig,plate-forme pétrolière
oils,huiles
oily,huileux
oink,oink
oinked,oinked
oinks,oinks
ointment,pommade
ointments,onguents
ok,D'accord
okapi,okapi
okapis,okapis
okay,d'accord
okayed,okayed
okays,ça va
oklahoma,Oklahoma
old,vieux
oldage,vieillesse
olden,vieux
"older             ,",plus âgée
oldest,plus vieux
oldfashioned,démodé
oldie,oldie
oldish,assez vieux
oldmaids,oldmaids
oldtimer,oldtimer
oldtimers,oldtimers
ole,ole
oleander,laurier-rose
oleanders,lauriers-roses
olfactory,olfactif
olive,olive
oliveoil,huile d'olive
oliver,oliver
olives,Olives
olm,olm
olms,olms
olympia,Olympie
olympiad,olympiade
olympian,olympien
olympic,olympique
olympics,Jeux olympiques
olympus,Olympe
ombudsman,Ombudsman
ombudsmen,Médiateurs
omega,oméga
omelette,omelette
omelettes,omelettes
omen,présage
omens,présages
ominous,de mauvais augure
ominously,menaçant
omission,omission
omissions,omissions
omit,omettre
omits,omet
omitted,omis
omitting,omettre
omnibus,omnibus
omnibuses,omnibus
omnidirectional,omnidirectionnel
omnipotence,omnipotence
omnipotent,omnipotent
omnipresence,omniprésence
omnipresent,omniprésent
omniscience,omniscience
omniscient,omniscient
omnivore,omnivore
omnivores,omnivores
omnivorous,omnivore
on,sur
onager,onagre
onagers,onagre
once,une fois que
one,un
oneness,unité
oner,oner
onerous,lourd
ones,ceux
oneself,soi-même
onesided,unilatéral
onesidedly,unilatéralement
onesidedness,unilatéralité
ongoing,en cours
onion,oignon
onions,oignons
onlooker,spectateur
onlookers,spectateurs
onlooking,donnant sur
only,seulement
onlybegotten,onlybegotten
onset,début
onshore,onshore
onslaught,assaut
onslaughts,agressions
ontario,Ontario
onto,sur
ontogeny,ontogenèse
ontological,ontologique
ontologically,ontologiquement
ontology,ontologie
onus,fardeau
onuses,onuses
onward,en avant
onwards,à partir de
onyx,onyx
onyxes,onyx
oocytes,ovocytes
oodles,tas
ooh,Ooh
oolitic,oolithique
oology,oologie
oompah,oompah
oops,Oops
ooze,suinter
oozed,suintement
oozes,suinte
oozing,suintant
oozy,de vase
opacity,opacité
opal,opale
opalescent,opalescent
opals,opales
opaque,opaque
open,ouvrir
opened,ouvert
opener,ouvreur
openers,ouvreurs
openhanded,ouvert
openhandedness,ouverture
openheart,coeur ouvert
openhearted,coeur ouvert
opening,ouverture
openings,ouvertures
openly,ouvertement
openminded,ouvert d'esprit
openmindedness,ouverture d'esprit
openness,ouverture
opens,s'ouvre
opera,opéra
operable,opérable
operand,opérande
operands,opérandes
operas,opéras
operate,fonctionner
operated,opéré
operates,fonctionne
operatic,opératique
operating,en fonctionnement
operation,opération
operational,opérationnel
operationally,opérationnellement
operations,opérations
operative,opératoire
operatives,les agents
operator,opérateur
operators,les opérateurs
operculum,opercule
operetta,opérette
operettas,opérettes
ophthalmic,ophtalmique
ophthalmics,ophtalmique
ophthalmologist,ophtalmologiste
ophthalmologists,ophtalmologistes
ophthalmology,ophtalmologie
opiate,opiacé
opiates,opiacés
opine,opine
opined,opiné
opines,opine
opining,opiner
opinion,opinion
opinionated,dogmatique
opinions,des avis
opioid,opioïde
opioids,opioïdes
opium,opium
opossum,opossum
opponent,adversaire
opponents,adversaires
opportune,opportun
opportunely,opportunément
opportunism,opportunisme
opportunist,opportuniste
opportunistic,opportuniste
opportunistically,opportuniste
opportunists,opportunistes
opportunities,opportunités
opportunity,opportunité
oppose,s'opposer
opposed,opposé
opposes,oppose
opposing,opposé
opposite,contraire
oppositely,en opposition
opposites,opposés
opposition,opposition
oppositional,oppositionnel
oppositions,oppositions
oppress,opprimer
oppressed,opprimé
oppresses,opprime
oppressing,oppressant
oppression,oppression
oppressions,oppressions
oppressive,oppressif
oppressively,oppressive
oppressiveness,oppression
oppressor,oppresseur
oppressors,oppresseurs
opprobrious,opprobre
opprobrium,opprobre
opt,opter
opted,opté
optic,optique
optical,optique
optically,optiquement
optician,opticien
opticians,opticiens
optics,optique
optima,optima
optimal,optimal
optimality,optimalité
optimally,de manière optimale
optimisation,optimisation
optimisations,optimisations
optimise,optimiser
optimised,optimisé
optimiser,optimiser
optimisers,optimiseurs
optimises,optimise
optimising,optimiser
optimism,optimisme
optimist,optimiste
optimistic,optimiste
optimistically,avec optimisme
optimists,optimistes
optimum,optimum
opting,opting
option,option
optional,optionnel
optionality,optionalité
optionally,facultativement
options,options
optoelectronic,optoélectronique
opts,opte
opulence,opulence
opulent,opulent
opus,opus
opuses,les opus
or,ou
oracle,oracle
oracles,oracles
oracular,oraculaire
oral,oral
orally,oralement
orang,orang
orange,Orange
oranges,des oranges
orangs,orangs
orangutan,orang-outan
orangutans,orangs-outans
orate,discourir
orated,orated
"orates            ,",orates
orating,orating
oration,discours solennel
orations,orations
orator,orateur
oratorical,oratoire
oratorio,oratorio
orators,orateurs
oratory,art oratoire
orb,orbe
orbit,orbite
orbital,orbital
orbitals,orbitales
orbited,en orbite
orbiter,orbiteur
orbiting,en orbite
orbits,orbites
orbs,orbes
orca,orque
orchard,verger
orchards,les vergers
orchestra,orchestre
orchestral,orchestral
orchestras,orchestres
orchestrate,orchestrer
orchestrated,orchestré
orchestrates,orchestrer
orchestrating,orchestrer
orchestration,orchestration
orchestrations,orchestrations
orchestrator,orchestrateur
orchid,orchidée
orchids,orchidées
ordain,ordonner
ordained,ordonné
ordaining,ordonner
ordains,ordonnances
ordeal,supplice
ordeals,des épreuves
order,commande
ordered,commandé
ordering,commander
orderings,commandes
orderless,sans ordonnance
orderlies,préposés
orderliness,ordre
orderly,ordonné
orders,ordres
ordinal,ordinal
ordinals,ordinaux
ordinance,ordonnance
ordinances,ordonnances
ordinands,ordinands
ordinarily,ordinairement
ordinariness,banalité
ordinary,ordinaire
ordinate,ordonner
ordinates,ordonnées
ordination,ordination
ordinations,ordinations
ordnance,l'artillerie
ordure,ordure
ore,minerai
ores,minerais
organ,organe
organelles,organelles
organic,biologique
organically,organiquement
organics,organiques
organisable,organisable
organisation,organisation
organisational,organisationnel
organisationally,organisationnellement
organisations,organisations
organise,organiser
organised,organisé
organiser,organisateur
organisers,les organisateurs
organises,organise
organising,organiser
organism,organisme
organisms,organismes
organist,organiste
organists,organistes
organs,organes
organza,organza
orgies,orgies
orgy,orgie
orient,Orient
orientable,orientable
oriental,Oriental
orientalism,orientalisme
orientals,orientaux
orientate,orienter
orientated,orienté
orientates,oriente
orientation,orientation
orientations,orientations
oriented,orienté
orienteering,course d'orientation
orienting,orientation
orifice,orifice
orifices,les orifices
origami,origami
origin,origine
original,original
originality,originalité
originally,initialement
originals,originaux
originate,originer
originated,originaire
originates,Provient
originating,originaire
origination,création
originator,auteur
originators,initiateurs
origins,origines
orimulsion,orimulsion
ornament,ornement
ornamental,ornemental
ornamentation,ornementation
ornamented,orné
ornamenting,ornement
ornaments,ornements
ornate,fleuri
ornately,richement
ornithological,ornithologique
ornithologist,ornithologue
ornithologists,ornithologues
ornithology,ornithologie
orphan,orphelin
orphanage,orphelinat
orphanages,orphelinats
orphaned,orphelin
orphans,orphelins
orpheus,Orphée
orthodontist,orthodontiste
orthodox,orthodoxe
orthodoxies,orthodoxies
orthodoxy,orthodoxie
orthogonal,orthogonal
orthogonality,orthogonalité
orthogonally,orthogonalement
orthographic,orthographique
orthographical,orthographique
orthographically,orthographiquement
orthography,orthographe
orthonormal,orthonormé
orthopaedic,orthopédique
orthopaedics,orthopédie
orthorhombic,orthorhombique
oryxes,oryx
oscar,oscar
oscars,oscars
oscillate,osciller
oscillated,oscillé
oscillates,oscille
oscillating,oscillant
oscillation,oscillation
oscillations,oscillations
oscillator,oscillateur
oscillators,oscillateurs
oscillatory,oscillatoire
oscilloscope,oscilloscope
oscilloscopes,oscilloscopes
osiris,osiris
oslo,Oslo
osmium,osmium
osmosis,osmose
osmotic,osmotique
osprey,balbuzard
ospreys,ospreys
ossification,ossification
ossified,ossifié
ostensible,ostensible
ostensibly,en apparence
ostentation,ostentation
ostentatious,ostentatoire
ostentatiously,avec ostentation
osteoarthritis,arthrose
osteopath,ostéopathe
osteopaths,ostéopathes
osteopathy,ostéopathie
osteoporosis,ostéoporose
ostler,ostler
ostlers,oisifs
ostracise,ostraciser
ostracised,ostracisé
ostracism,ostracisme
ostrich,autruche
ostriches,autruches
other,autre
otherness,altérité
others,autres
otherwise,autrement
otter,loutre
otters,loutres
ottoman,ottoman
ouch,Aie
ought,devrait
ounce,once
ounces,onces
our,notre
ours,les notres
ourselves,nous-mêmes
oust,évincer
ousted,évincé
ouster,expulsion
ousting,évincer
ousts,évasions
out,en dehors
outage,panne
outages,pannes
outback,outback
outbid,surenchérir
outbids,surenchères
outboard,hors-bord
outbound,sortant
outbreak,déclenchement
outbreaks,éclosions
outbred,outbred
outbuilding,dépendance
outbuildings,dépendances
outburst,explosion
outbursts,éclats
outcall,appel
outcast,banni
outcasts,parias
outclassed,surclassé
outcome,résultat
outcomes,résultats
outcries,des cris
outcrop,affleurement
outcrops,affleurements
outcry,tollé
outdated,dépassé
outdid,outdid
outdo,surpasser
outdoes,surpasse
outdoing,surpasser
outdone,surpasser
outdoor,de plein air
outdoors,en plein air
outer,extérieur
outermost,plus à l'extérieur
outface,décontenancer
outfall,déversoir
outfalls,exutoires
outfield,champ extérieur
outfit,tenue
outfits,tenues
outfitters,pourvoiries
outflank,déborder
outflanked,débordé
outflow,sortie
outflows,sorties
outfox,outfox
outfoxed,outfoxed
outfoxes,outfoxes
outgo,dépense
outgoing,sortant
outgoings,dépenses
outgrew,surpasser
outgrow,excroissance
outgrowing,grandir
outgrown,dépassé
outgrowth,excroissance
"outgrowths            ,",excroissances
outguess,devancer
outhouse,appentis
outhouses,les dépendances
outing,sortie
outings,sorties
outlandish,bizarre
outlast,survivre à
outlasted,survécu
outlasts,surpasse
outlaw,hors la loi
outlawed,proscrit
outlawing,proscrire
outlawry,hors-la-loi
outlaws,hors-la-loi
outlay,dépenses
outlays,dépenses
outlet,sortie
outlets,prises électriques
outlier,aberrante
outliers,outliers
outline,contour
outlined,décrit
outlines,grandes lignes
outlining,décrivant
outlive,survivre à
outlived,a survécu
outlives,survit
outliving,survivre
outlook,perspective
outlooks,perspectives
outlying,périphérique
outmanoeuvre,outmanoeuvre
outmanoeuvred,outmaneuvered
outmoded,démodé
outmost,plus loin
outnumber,en nombre
outnumbered,en infériorité numérique
outnumbering,plus grand nombre
outnumbers,nombre de personnes
outpace,devancer
outpaced,dépassé
outpacing,dépassant
outpatient,ambulatoire
outpatients,patients ambulatoires
outperform,surpasser
outperformed,surperformé
outperforming,surperformer
outperforms,surperforme
outplacement,outplacement
outplay,battre
outplayed,outplayed
outpointed,outpointé
outpointing,point de départ
outpost,avant-poste
outposts,avant-postes
outpouring,épanchement
outpourings,épanchements
output,sortie
outputs,les sorties
outputting,sortir
outrage,outrage
outraged,outragée
outrageous,scandaleux
outrageously,outrageusement
outrages,outrages
outraging,outrager
outran,outran
outrank,dépasser
outreach,sensibilisation
outride,dépasser
outrider,cavalier
outriders,cavaliers
outrigger,outrigger
outright,carrément
outrun,dépasser
outruns,outruns
outs,outs
outsell,mieux se vendre que
outset,début
outsets,débuts
outshine,éclipser
outshines,les outshines
outshining,en surbrillance
outshone,outshone
outside,à l'extérieur
outsider,outsider
outsiders,outsiders
outsides,extérieurs
outsize,surdimensionner
outskirts,faubourgs
outsmart,malchance
outsold,vendu
outsourcing,externalisation
outspan,outspan
outspoken,franc
outspokenly,ouvertement
outspokenness,franc-parler
outspread,étendu
outstanding,exceptionnel
outstandingly,remarquablement
outstation,outstation
outstations,outstations
outstay,rester plus longtemps que
outstayed,outstayed
outstep,avant-pied
outstretched,tendu
outstrip,dépasser
outstripped,dépassé
outstripping,dépassement
outstrips,dépasse
outvoted,mis en minorité
outward,vers l'extérieur
outwardly,extérieurement
outwards,en dehors
outweigh,emporter sur
outweighed,l'emportent
outweighing,l'emportent
outweighs,l'emporte
outwit,se défier
outwith,hors
outwits,surpasse
outwitted,déjoué
outwitting,surpasser
outwork,travail à domicile
outworking,outworking
ova,ova
oval,ovale
ovals,ovales
ovarian,ovaire
ovaries,ovaires
ovary,ovaire
ovate,ovate
ovation,ovation
ovations,ovations
oven,four
ovens,fours
over,plus de
overact,charger son rôle
overacted,exagéré
overacting,surexciter
overactive,trop actif
overacts,surfait
overall,global
overallocation,superposition
overalls,salopette
overambitious,trop ambitieux
overanxious,trop anxieux
overate,surpasser
overbearing,autoritaire
overboard,à la mer
overburdened,surchargé
overcame,vaincre
overcapacity,surcapacité
overcast,couvert
overcharge,surcharge
overcharged,surchargé
overcharging,surcharger
overcoat,pardessus
overcoats,pardessus
overcome,surmonter
overcomes,surmonter
overcoming,surmonter
overcommitment,surengagement
overcommitments,surengagements
overcompensate,surcompenser
overcomplexity,surcomplexité
overcomplicated,trop compliqué
overconfident,trop confiant
overcook,trop cuire
overcooked,trop cuit
overcrowd,surcharger
overcrowded,surchargé
overcrowding,surpeuplement
overdetermined,surdéterminé
overdid,surdid
overdo,exagérer
overdoes,overdoes
overdoing,exagération
overdone,exagéré
overdose,surdosage
overdosed,surdosé
overdoses,surdosages
overdosing,surdosage
overdraft,découvert
overdrafts,découverts
overdramatic,trop dramatique
overdraw,recouvrir
overdrawn,à découvert
overdressed,trop habillé
overdrive,surmultipliée
overdubbing,superposition
overdue,en retard
overeat,trop manger
overeating,trop manger
overeats,trop manger
overemotional,trop émotif
overemphasis,trop d'emphase
overemphasise,trop insister
overemphasised,trop souligné
overenthusiastic,trop enthousiaste
overestimate,surestimer
overestimated,surestimé
overestimates,surestimer
overestimating,surestimer
overestimation,surestimation
overexposed,surexposé
overexposure,surexposition
overextended,surextension
overfamiliarity,surfamiliarité
overfed,suralimenté
overfeed,suralimenter
overfeeding,suralimentation
overfill,déborder
overfishing,surpêche
overflow,débordement
overflowed,débordé
overflowing,débordé
overflown,survol
overflows,déborde
overfly,survoler
overflying,survol
overfull,trop plein
overgeneralised,sur-généralisé
overgeneralising,surgénéraliser
overgrazing,surpâturage
overground,Overground
overgrown,envahi
overgrowth,surcroissance
overhand,à portée de main
overhang,surplomb
overhanging,surplombant
overhangs,surplombs
overhasty,hâtif
overhaul,révision
overhauled,révisé
overhauling,remise en état
overhauls,révisions
overhead,aérien
overheads,frais généraux
overhear,surprendre
overheard,entendu
overhearing,surprendre
overhears,surprend
overheat,surchauffer
overheated,surchauffé
overheating,surchauffe
overhung,surplomb
overincredulous,surincrédité
overindulgence,abus
overindulgent,trop indulgent
overinflated,plus gonflé
overjoyed,fou de joie
overkill,surpuissance
overladen,surchargé
overlaid,superposé
overlain,recouvrir
overland,par la route
"overlap            ,",chevauchement
overlapped,chevauché
overlapping,chevauchement
overlaps,chevauchement
overlay,recouvrir
overlaying,superposer
overlays,superpositions
overleaf,au verso
overlie,recouvrir
overlies,superpose
overload,surcharge
overloaded,surchargé
overloading,surcharge
overloads,surcharges
overlong,trop long
overlook,négliger
overlooked,négligé
overlooking,donnant sur
overlooks,donne sur
overlord,suzerain
overlords,suzerains
overly,trop
overlying,recouvrant
overmanning,sureffectif
overmantel,overmantel
overmatching,surclassement
overmuch,trop
overnight,pendant la nuit
overoptimistic,trop optimiste
overpaid,trop payé
overpass,dépasser
overpay,surpayer
overpayment,trop-payé
overplay,surjouer
overplayed,surjoué
overplaying,surjouer
overpopulated,surpeuplé
overpopulation,surpopulation
overpopulous,surpopuleux
overpower,maîtriser
overpowered,surpuissant
overpowering,irrésistible
overpoweringly,énormément
overpowers,surpuissance
overpressure,surpression
overpriced,trop cher
overprint,surcharge
overprinted,surimprimé
overprinting,surimpression
overprints,surimpressions
overproduced,surproduit
overproduction,surproduction
overqualified,surqualifié
overran,dépassé
overrate,surévaluer
overrated,surfait
overreach,dépassement
overreached,dépassée
overreaching,dépassement
overreact,réagir de façon excessive
overreacted,surréagit
overreacting,surréagir
overreaction,réaction exagérée
overreacts,surréagit
overrepresented,surreprésenté
overridden,substitué
override,passer outre
overrides,dérogations
overriding,primordial
overripe,trop mûr
overrode,passer outre
overrule,annuler
overruled,annulé
overruling,annulation
overrun,envahi
overrunning,déborder
overruns,dépassements
overs,overs
oversampled,suréchantillonné
oversampling,suréchantillonnage
oversaw,surveiller
overseas,étranger
oversee,superviser
overseeing,surveillance
overseen,surveillé
overseer,surveillant
overseers,surveillants
oversees,supervise
oversensitive,trop sensible
oversensitivity,hypersensibilité
oversexed,exagéré
overshadow,éclipser
overshadowed,éclipsé
overshadowing,ombrageant
overshadows,éclipse
overshoot,dépasser
overshooting,dépassement
overshoots,dépassements
overshot,dépassement
oversight,surveillance
oversights,oublis
oversimplification,simplification excessive
oversimplifications,simplifications excessives
oversimplified,trop simplifié
oversimplifies,simplifie
oversimplify,simplifier
oversimplifying,trop simplifier
oversize,surdimensionné
oversized,énorme
oversleep,dormir trop longtemps
overslept,dormi
overspend,trop dépenser
overspending,dépenses excessives
overspent,dépassement
overspill,déborder
overstaffed,en sureffectif
overstate,exagérer
overstated,exagéré
overstatement,exagération
overstates,surestime
overstating,exagérer
overstep,dépasser
overstepped,dépassé
overstepping,dépassement
oversteps,dépassements
overstocked,encombré
overstocking,surstockage
overstress,surcontrainte
overstressed,trop stressé
overstretch,overstretch
overstretched,trop tendu
overstrung,surexcité
overstuffed,rembourré
oversubscribed,sursouscription
oversupply,offre excédentaire
overt,manifeste
overtake,dépasser
overtaken,dépassé
overtaker,débordeur
overtakers,excitateurs
overtakes,dépassements
overtaking,dépassement
overtax,surmener
overthetop,sur le dessus
overthrew,renverser
overthrow,renverser
overthrowing,renverser
overthrown,renversé
overthrows,renverse
overtightened,trop serré
overtime,heures supplémentaires
overtly,ouvertement
overtness,l'overtness
overtone,harmonique
overtones,harmoniques
overtook,dépassé
overtops,dépasser
overture,ouverture
overtures,ouvertures
overturn,renverser
overturned,renversé
overturning,renversement
overturns,renverse
overuse,abus
overused,surutilisé
overuses,excès
overvalue,surévaluer
overvalued,surévalué
overview,aperçu
overviews,aperçus
overweening,démesuré
overweight,en surpoids
overwhelm,submerger
overwhelmed,submergé
overwhelming,accablant
overwhelmingly,massivement
overwhelms,submerge
overwinter,hivernage
overwintered,hiverné
overwintering,hiverner
overwork,surmenage
overworked,surmené
overworking,surmenage
overwrite,écraser
overwrites,écrase
overwriting,écraser
overwritten,écrasé
overwrote,écraser
overwrought,excédé
oviduct,oviducte
ovoid,forme ovoïde
ovular,ovulaire
ovulation,ovulation
ovum,ovule
ow,ow
owe,devoir
owed,dû
owes,doit
owing,dû
owl,hibou
owlet,jeune hibou
owlets,chouettes
owlish,hibou
owlishly,comme un hibou
owls,chouettes
own,posséder
owned,détenue
owner,propriétaire
owners,les propriétaires
ownership,la possession
ownerships,propriété
owning,posséder
owns,possède
ox,bœuf
oxalate,oxalate
oxalic,oxalique
oxcart,char à bœufs
oxen,boeufs
oxford,Oxford
oxidant,oxydant
oxidants,oxydants
oxidation,oxydation
oxide,oxyde
oxides,les oxydes
oxidisation,oxydation
oxidise,oxyder
oxidised,oxydé
oxidiser,comburant
oxidising,oxydant
oxtail,soupe à la queue de boeuf
oxtails,queue de boeuf
oxygen,oxygène
oxygenated,oxygéné
oxygenating,oxygéner
oxygenation,oxygénation
oxymoron,oxymoron
oyster,huître
oysters,Huîtres
ozone,ozone
ozonefriendly,inoffensif pour l'ozone
pa,Pennsylvanie
pace,rythme
paced,stimulé
pacemaker,stimulateur cardiaque
pacemakers,pacemakers
paceman,Paceman
pacemen,pacemen
pacer,meneur de train
pacers,Pacers
paces,les pas
pacey,pacey
pachyderm,pachyderme
pacific,pacifique
pacification,pacification
pacified,pacifié
pacifier,sucette
pacifies,pacifie
pacifism,pacifisme
pacifist,pacifiste
pacifists,pacifistes
pacify,pacifier
pacifying,apaisement
"pacing           ,",rythme
pack,pack
packable,emballable
package,paquet
packaged,emballé
packages,paquets
packaging,emballage
packed,emballé
packer,emballeur
packers,emballeurs
packet,paquet
packets,paquets
packhorse,cheval de bataille
packing,emballage
packings,emballages
packs,packs
pact,pacte
pacts,pactes
pad,tampon
padded,rembourré
padding,rembourrage
paddings,paddings
paddle,pagayer
paddled,pagayé
paddler,pagayeur
paddlers,pagayeurs
paddles,pagaies
paddling,pagayer
paddock,paddock
paddocks,paddocks
paddy,paddy
padlock,cadenas
padlocked,cadenassé
padlocking,cadenassage
padlocks,cadenas
padre,padre
padres,padres
pads,tampons
paean,péan
paeans,les hébreux
paediatric,pédiatrique
paediatrician,pédiatre
paediatricians,pédiatres
paediatrics,pédiatrie
paedophile,pédophile
paedophiles,pédophiles
paedophilia,pédophilie
paella,Paëlla
paeony,Paony
pagan,païen
paganism,paganisme
pagans,païens
page,page
pageant,reconstitution historique
pageantry,apparat
pageants,concours
pageboy,carré
paged,paginé
pageful,pageful
pager,pager
pagers,téléavertisseurs
pages,pages
paginal,de page
paginate,paginer
paginated,paginé
paginating,paginer
pagination,pagination
paging,pagination
pagoda,pagode
pagodas,pagodes
paid,payé
paidup,payé
pail,seau
pails,seaux
pain,douleur
pained,peiné
painful,douloureux
painfully,douloureusement
painfulness,douleur
paining,peintre
painkiller,anti douleur
painkillers,analgésiques
painless,sans douleur
painlessly,sans douleur
pains,des douleurs
painstaking,soigneux
painstakingly,laborieusement
paint,peindre
paintbox,boîte de peinture
paintbrush,pinceau
painted,peint
painter,peintre
painters,peintres
painting,La peinture
paintings,peintures
paints,des peintures
paintwork,peinture
pair,paire
paired,apparié
pairing,l'appariement
pairings,appariements
pairs,paires
pairwise,pairwise
pajama,pyjama
pajamas,pyjamas
pakistan,Pakistan
pal,copain
palace,palais
palaces,palais
palaeographic,paléographique
palaeolithic,paléolithique
palaeontological,paléontologique
palaeontologist,paléontologiste
palaeontologists,paléontologues
palaeontology,paléontologie
palatability,palatabilité
palatable,acceptable
palatal,palatale
palate,palais
palates,les palais
palatial,grandiose
palatinate,palatinat
palatine,palatin
palaver,palabre
pale,pâle
paled,pâlit
paleface,visage pâle
palely,pâle
paleness,pâleur
paler,plus pâle
pales,pâlit
palest,plus pâle
palette,palette
palettes,palettes
palimpsest,palimpseste
palindrome,palindrome
palindromes,palindromes
palindromic,palindromique
paling,palissade
palisade,palissade
palisades,palissades
pall,voile
palladium,palladium
pallbearers,porteurs
palled,pallé
pallet,palette
pallets,palettes
palliative,palliatif
palliatives,palliatifs
pallid,pâle
pallmall,Pall Mall
pallor,pâleur
palls,Palls
palm,paume
palmed,palmé
palming,palming
palmist,chiromancien
palmistry,chiromancie
palms,palmiers
palmtop,palmtop
palmtops,palmtops
palmy,florissant
palp,palpe
palpable,palpable
palpably,manifestement
palpate,palper
palpated,palpé
palpates,palpe
palpitate,palpiter
palpitated,palpitant
palpitating,palpitant
palpitation,palpitation
palpitations,palpitations
pals,copains
palsied,paralysé
palsy,paralysie
paltrier,Paltrier
paltriest,paltriest
paltriness,tristesse
paltry,dérisoire
paludal,marécageux
pampas,pampas
pamper,dorloter
pampered,choyé
pampering,choyer
pampers,pampers
pamphlet,brochure
pamphleteer,pamphlétaire
pamphleteers,pamphlétaires
pamphlets,dépliants
pan,casserole
panacea,panacée
panaceas,panacées
panache,panache
panama,Panama
pancake,crêpe
pancaked,crémé
pancakes,Crêpes
pancreas,pancréas
pancreatic,pancréatique
panda,Panda
pandas,pandas
pandemic,pandémie
pandemics,pandémies
pandemonium,chaos
pander,entremetteur
pandering,proxénète
panders,des panders
pandora,pandora
pane,vitre
paned,pané
panel,panneau
panelled,lambrissé
panelling,lambris
panellist,panéliste
panellists,panélistes
panels,panneaux
panes,des vitres
pang,serrement
panga,panga
pangas,pangas
pangolin,pangolin
pangs,pangs
panic,panique
panicked,paniqué
panicking,paniquer
panicky,de panique
panics,panique
"panicstricken              ,",panicstricken
panjandrum,gros bonnet
panned,pané
pannier,sacoche
panniers,sacoches
panning,panning
panoply,panoplie
panorama,panorama
panoramas,panoramas
panoramic,panoramique
pans,des casseroles
pansies,pensées
pansy,pensée
pant,haleter
pantaloons,pantalon
pantechnicon,camion de déménagement
panted,haletant
pantheism,panthéisme
pantheist,panthéiste
pantheistic,panthéiste
pantheon,panthéon
panther,panthère
panthers,panthères
panties,culotte
pantile,pantille
pantiled,pantil
pantiles,des pantilles
panting,halètement
pantograph,pantographe
pantographs,pantographes
pantomime,pantomime
pantomimes,pantomimes
pantries,garde-manger
pantry,office
pants,un pantalon
panzer,panzer
pap,bouillie
papa,papa
papacy,papauté
papal,papal
paparazzi,paparazzi
papas,papas
papaw,papaye
papaws,papaws
papaya,Papaye
paper,papier
paperback,livre de poche
paperbacks,des livres de poche
papered,tapissé
papering,tapisser
paperless,sans papier
papers,papiers
paperthin,aussi fin que du papier
paperweight,presse-papiers
paperweights,presse-papiers
paperwork,formalités administratives
papery,parcheminé
papilla,papille
papist,papiste
pappy,papa
paprika,paprika
papua,Papouasie
papule,papule
papyri,papyrus
papyrus,papyrus
par,par
parable,parabole
parables,paraboles
parabola,parabole
parabolas,paraboles
parabolic,parabolique
paraboloid,paraboloïde
paraboloids,paraboloïdes
paracetamol,paracétamol
parachute,parachute
parachuted,parachuté
parachutes,parachutes
parachuting,le parachutisme
parachutist,parachutiste
parachutists,parachutistes
parade,parade
paraded,paradé
parader,parader
parades,défilés
paradigm,paradigme
paradigmatic,paradigmatique
paradigms,paradigmes
parading,parader
paradise,paradis
paradises,paradis
paradox,paradoxe
paradoxes,paradoxes
paradoxical,paradoxal
paradoxically,paradoxalement
paraffin,paraffine
paragliding,parapente
paragon,parangon
paragons,parangons
paragraph,paragraphe
paragraphing,paragrapheing
paragraphs,paragraphes
paraguay,paraguay
parakeet,perruche
parakeets,perruches
paralinguistic,paralinguistique
parallax,parallaxe
parallaxes,parallaxes
parallel,parallèle
paralleled,en parallèle
parallelepiped,parallélépipède
paralleling,parallèle
parallelism,parallélisme
parallelogram,parallélogramme
parallelograms,parallélogrammes
parallels,parallèles
paralyse,paralyser
paralysed,paralysé
paralyses,paralyse
paralysing,paralysant
paralysis,paralysie
paralytic,paralytique
paralytically,paralytique
paramagnetic,paramagnétique
paramagnetism,paramagnétisme
paramedic,paramédical
paramedical,paramédical
paramedics,paramédicaux
parameter,paramètre
parameters,paramètres
parametric,paramétrique
parametrically,paramétriquement
parametrisation,paramétrisation
parametrise,paramétrer
parametrised,paramétré
parametrises,paramètres
paramilitaries,paramilitaires
paramilitary,paramilitaire
paramount,primordial
paramountcy,prépondérance
paramour,amant
paranoia,paranoïa
paranoiac,paranoïaque
paranoiacs,paranoïaques
paranoid,paranoïaque
paranormal,paranormal
parapet,parapet
parapets,parapets
paraphernalia,attirail
paraphrase,paraphrase
paraphrased,paraphrasé
paraphrases,paraphrases
paraphrasing,paraphraser
paraplegic,paraplégique
parapsychologist,parapsychologue
parapsychology,parapsychologie
paraquat,paraquat
parasite,parasite
parasites,parasites
parasitic,parasite
parasitical,parasitaire
parasitised,parasité
parasitism,parasitisme
parasitologist,parasitologue
parasitology,parasitologie
parasol,parasol
parasols,parasols
paratroop,parachutiste
paratrooper,parachutiste
paratroopers,parachutistes
paratroops,parachutistes
parboil,blanchir
parcel,parcelle
parcelled,morcelé
parcelling,lotissement
parcels,colis
parch,dessécher
parched,desséché
parches,parches
parchment,parchemin
parchments,parchemins
pardon,pardon
pardonable,pardonnable
pardoned,pardonné
