a,een
luna,luna
lunacies,lunacies
lunacy,krankzinnigheid
lunar,maan
lunate,sikkelvormig
lunatic,gek
lunatics,gekken
lunch,lunch
lunched,geluncht
luncheon,lunch
luncheons,lunches
lunchers,lunchers
lunches,lunches
lunching,lunchen
lunchpack,lunchpakket
lunchtime,lunchtijd
lunchtimes,lunch
lune,lune
lung,long
lunge,longe
lunged,lunged
lunges,lunges
lungfish,lungfish
lungful,lungful
lungfuls,lungfuls
lunging,longeren
lungs,longen
lupin,lupine
lupines,lupines
lupins,lupinen
lur,Lur
lurch,slingeren
lurched,slingerde
lurchers,lurchers
lurches,lurches
lurching,slingerend
lure,lokken
lured,gelokt
lures,kunstaas
lurex,lurex
lurid,luguber
luridly,luridly
luring,lokken
lurk,op de loer liggen
lurked,loerde
lurker,lurker
lurkers,gluurders
lurking,loer
lurks,schuilt
lusaka,lusaka
luscious,heerlijk
lusciously,lusciously
lush,weelderig
lusher,weelderiger
lushest,lushest
lushness,weelderigheid
lust,lust
lusted,Lusted
lustful,wellustig
lustfully,lustfully
lustier,lustier
lustiest,lustiest
lustily,lustily
lusting,begeren
lustre,glans
lustreless,glansloos
lustrous,glanzend
lusts,lusten
lusty,wellustig
lute,luit
lutes,luiten
luther,luther
lux,lux
luxor,luxor
luxuriance,weelderigheid
luxuriant,weelderig
luxuriantly,luxuriantly
luxuriate,welig tieren
luxuriating,luxuriating
luxuries,luxe
luxurious,luxueus
luxuriously,weelderig
luxury,luxe
lychee,lychee
lychees,lychees
lye,loog
lying,aan het liegen
lymph,weefselvocht
lymphatic,lymfatische
lymphocyte,lymfocyt
lymphocytes,lymfocyten
lymphocytic,lymfocytische
lymphoid,lymfoïde
lymphoma,lymfoom
lymphomas,lymfomen
lynch,lynchen
lynched,gelyncht
lynches,lynches
lynching,lynching
lynchpin,lynchpin
lynx,lynx
lynxes,lynxen
lyon,lyon
lyons,lyons
lyra,Lier
lyre,lier
lyres,lieren
lyric,lyrisch
lyrical,lyrisch
lyrically,lyrisch
lyricism,lyriek
lyricist,tekstschrijver
lyricists,tekstschrijvers
lyrics,songtekst
lyrist,lyricus
lysine,lysine
mac,Mac
macabre,macabre
macaque,makaak
macaques,makaken
macaroni,macaroni
macaroon,bitterkoekje
macaroons,bitterkoekjes
macaw,ara
macaws,ara's
mace,foelie
maces,knotsen
machete,machete
machetes,machetes
machination,machinatie
machinations,machinaties
machine,machine
machined,bewerkte
machinegun,machinegeweer
machineguns,machine geweren
machinery,machinerie
machines,machines
machinist,machinist
machinists,machinisten
machismo,machismo
macho,macho
macintosh,regenjas
macintoshes,Macintoshes
mackerel,makreel
mackintosh,regenjas
mackintoshes,Mackintosh
macro,macro
macrobiotic,macrobiotische
macrocosm,macrocosmos
macroeconomic,macro-economische
macroeconomics,macro-economie
macromolecular,macromoleculaire
macromolecules,macromoleculen
macron,macron
macrophage,macrofaag
macrophages,macrofagen
macroscopic,macroscopische
macroscopically,macroscopisch
mad,boos
madam,mevrouw
madame,mevrouw
madams,madams
madcap,dwaas
madden,gek maken
maddened,maddened
maddening,gek makend
maddeningly,maddeningly
maddens,Maddens
madder,meekrap
maddest,maddest
made,gemaakt
madeira,Madeira
mademoiselle,juffrouw
madhouse,gekkenhuis
madly,gek
madman,gek
madmen,gekke mannen
madness,krankzinnigheid
madras,madras
madrid,Madrid
madrigal,madrigaal
madrigals,madrigalen
madwoman,krankzinnige vrouw
maelstrom,maalstroom
maestro,meester
mafia,maffia
mafiosi,maffiosi
mag,magazijn
magazine,tijdschrift
magazines,tijdschriften
magenta,magenta
maggot,made
maggots,maden
magi,Magi
magic,magie
magical,magisch
magically,bij toverslag
magician,goochelaar
magicians,goochelaars
magics,magics
magisterial,magistraal
magisterially,magistraal
magistrate,magistraat
magistrates,magistraten
magma,magma
magmas,magma
magmatic,magmatische
magnanimity,grootmoedigheid
magnanimosity,magnanimosity
magnanimous,grootmoedig
magnanimously,grootmoedig
magnate,magnaat
magnates,magnaten
magnesia,magnesia
magnesium,magnesium
magnet,magneet
magnetic,magnetisch
magnetically,magnetisch
magnetisation,magnetisatie
magnetise,magnetise
magnetised,gemagnetiseerde
magnetism,magnetisme
magnetite,magnetiet
magneto,magneto
magnetodynamics,magnetodynamics
magnetohydrodynamical,Magnetohydrodynamische
magnetohydrodynamics,magnetohydrodynamica
magnetometer,magnetometer
magnetometers,magnetometers
magnetosphere,magnetosfeer
magnetron,magnetron
magnets,magneten
magnification,vergroting
magnifications,vergrotingen
magnificence,pracht
magnificent,prachtig
magnificently,prachtig
magnified,uitvergroot
magnifier,vergrootglas
magnifies,vergroot
magnify,vergroten
magnifying,vergrootglas
magniloquent,grootsprakend
magnitude,omvang
magnitudes,magnitudes
magnolia,magnolia
magnolias,magnolia
magnum,magnum
magnums,magnums
magpie,ekster
magpies,eksters
mags,mags
mahatma,mahatma
mahogany,mahonie
maid,hulp in de huishouding
maiden,meisje
maidenly,maagdelijk
maidens,maagden
maids,dienstmeisjes
maidservant,dienstmeid
maidservants,dienstmaagden
mail,mail
mailable,mailable
mailbox,postbus
mailed,gemaild
mailer,verzender
mailing,mailing
mailings,mailings
mailman,postbode
mailmen,postbodes
mailorder,postorder
mails,mails
mailshot,mailing
mailshots,mailings
maim,verminken
maimed,verminkt
maiming,verminken
maimings,maimings
maims,verminkt
main,hoofd
mainbrace,Westward
maine,Maine
mainframe,grote computer
mainframes,mainframes
mainland,vasteland
mainline,mainline
mainly,hoofdzakelijk
mains,lichtnet
mainsail,grootzeil
mainspring,drijfveer
mainstay,steunpilaar
mainstays,pijlers
mainstream,hoofdstroom
maintain,in stand houden
maintainability,onderhoudbaarheid
maintainable,houdbaar
maintained,gehandhaafd
maintainer,onderhouder
maintainers,onderhouders
maintaining,behoud
maintains,onderhoudt
maintenance,onderhoud
maisonette,maisonnette
maisonettes,maisonettes
maize,maïs
maizes,maïssoorten
majestic,majestueus
majestically,majestueus
majesties,majesteiten
majesty,majesteit
majolica,majolica
major,groot
majorette,majorette
majorettes,majorettes
majorities,meerderheden
majority,meerderheid
majors,majors
make,maken
makeover,makeover
maker,maker
makers,makers
makes,merken
makeshift,noodoplossing
makeup,bedenken
makeweight,makeweight
making,making
makings,verdiensten
malachite,malachiet
maladaptive,maladaptive
maladies,kwalen
maladjusted,slecht aangepast
maladjustment,slechte regeling
maladministration,wanbeheer
maladroit,onhandig
malady,ziekte
malaise,malaise
malaria,malaria
malarial,malaria
malathion,malathion
malawi,Malawi
malay,Maleis
malayan,maleise
malays,Maleiers
malaysia,Maleisië
malcontent,ontevreden
malcontents,ontevredenen
maldives,Maldiven
male,mannetje
malefaction,misdaad
malefactions,malefactions
malefactor,boosdoener
malefactors,boosdoeners
maleness,mannelijkheid
males,mannetjes
malevolence,kwaadwilligheid
malevolent,kwaadwillig
malevolently,kwaadaardig
malformation,misvorming
malformations,misvormingen
malformed,misvormd
malfunction,storing
malfunctioned,defect
malfunctioning,storing
malfunctions,storingen
malice,kwaadaardigheid
malices,Malices
malicious,kwaadaardig
maliciously,kwaadwillig
maliciousness,maliciousness
malign,kwaadaardig
malignancies,maligniteiten
malignancy,kwaadaardigheid
malignant,kwaadaardig
malignantly,kwaadaardig
maligned,verguisde
maligners,maligners
maligning,kwaadspreken
malignity,kwaadaardigheid
maligns,lastert
malingerers,simulanten
malingering,simulatie
mall,winkelcentrum
mallard,wilde eend
mallards,wilde eenden
malleability,kneedbaarheid
malleable,smeedbaar
mallet,houten hamer
mallets,mallets
mallow,kaasjeskruid
malls,winkelcentra
malnourished,ondervoed
malnourishment,ondervoeding
malnutrition,ondervoeding
malodorous,onwelriekende
malpractice,wangedrag
malpractices,malversaties
malt,mout
malta,Malta
malted,gemoute
maltese,Maltees
malting,mouten
maltreat,mishandelen
maltreated,mishandeld
maltreatment,mishandeling
malts,malts
malty,moutig
malva,malva
mama,mama
mamas,mamas
mamba,soort slang
mambas,mambas
mammal,zoogdier
mammalia,zoogdieren
mammalian,zoogdier
mammals,zoogdieren
mammary,borstklieren
mammoth,mammoet
mammoths,mammoeten
mammy,mamma
man,man
manacle,handboei
manacled,manacled
manacles,handboeien
manage,beheren
manageability,handelbaarheid
manageable,handelbaar
managed,beheerd
management,beheer
managements,directies
manager,manager
manageress,directrice
manageresses,manageresses
managerial,leidinggevende
managerially,managerially
managers,managers
managership,zaakvoerderschap
manages,beheert
managing,beheren
manatee,zeekoe
manciple,econoom
mandarin,mandarijn
mandarins,mandarijnen
mandate,mandaat
mandated,gemandateerde
mandates,mandaten
mandating,mandateren
mandatory,verplicht
mandela,mandela
mandible,kaak
mandibles,onderkaken
mandibular,mandibulaire
mandolin,mandoline
mandolins,mandolines
mandrake,alruin
mandril,spil
mandrill,noordafrikaanse baviaan
mane,manen
maned,manen
manes,schimmen
maneuver,manoeuvreren
manfully,manhaftig
manganese,mangaan
mange,schurft
manger,kribbe
mangers,managers
mangle,mangel
mangled,verminkte
mangler,mangler
mangles,mangels
mangling,mangelen
mango,mango
mangrove,mangrove
mangroves,mangroves
manhandle,toetakelen
manhandled,manhandled
manhandling,sjouwen
manhole,mangat
manholes,mangaten
manhood,mannelijkheid
manhunt,mensenjacht
manhunts,klopjachten
mania,manie
maniac,maniac
maniacal,waanzinnig
maniacally,maniakaal
maniacs,maniacs
manias,manies
manic,manisch
manically,manisch
manicdepressive,manisch depressief
manicure,manicuur
manicured,gemanicuurde
manifest,manifesteren
manifestation,manifestatie
manifestations,manifestaties
manifested,gemanifesteerd
manifesting,manifesteren
manifestly,kennelijk
manifesto,manifesto
manifests,manifesteert
manifold,verdeelstuk
manifolds,spruitstukken
manikin,mannequin
manila,manilla
manipulable,manipuleerbare
manipulate,manipuleren
manipulated,gemanipuleerd
manipulates,manipuleert
manipulating,manipuleren
manipulation,manipulatie
manipulations,manipulaties
manipulative,manipulatieve
manipulator,manipulator
manipulators,manipulators
mankind,mensheid
manliest,manliest
manliness,mannelijkheid
manly,mannelijk
manmade,door de mens veroorzaakte
manna,manna
manned,bemand
mannequin,mannequin
mannequins,mannequins
manner,manier
mannered,gemanierd
mannerism,gemaniëreerdheid
mannerisms,maniertjes
mannerist,maniëristische
mannerliness,ongemanierdheid
mannerly,welgemanierd
manners,manieren
manning,Manning
manoeuvrability,manoeuvreerbaarheid
manoeuvrable,wendbaar
manoeuvre,manoeuvreren
manoeuvred,gemanoeuvreerd
manoeuvres,manoeuvres
manoeuvring,manoeuvreren
manoeuvrings,manoeuvres
manometer,manometer
manor,landhuis
manorial,van een ambacht heerlijkheid
manors,landhuizen
manpower,arbeidskrachten
manse,manse
manservant,knecht
mansion,herenhuis
mansions,herenhuizen
mansized,mansized
manslaughter,doodslag
mantel,schoorsteenmantel
mantelpiece,schoorsteenmantel
mantelpieces,schouwen
mantelshelf,schoorsteenmantel
mantids,mantids
mantis,mantis
mantissa,mantisse
mantissas,mantissas
mantle,mantel
mantled,Bedekt
mantles,mantels
mantling,dekkleden
mantra,mantra
mantrap,mantrap
mantraps,voetangels
mantras,mantra
manual,handboek
manually,handmatig
manuals,handleidingen
manufacture,vervaardiging
manufactured,geproduceerd
manufacturer,fabrikant
manufacturers,fabrikanten
manufactures,fabrikaten
manufacturing,fabricage
manure,mest
manured,bemeste
manures,mest
manuring,bemesting
manuscript,manuscript
manuscripts,manuscripten
many,veel
maoism,maoism
maoist,maoïstische
maoists,maoïsten
maori,Maori
map,kaart
maple,esdoorn
maples,esdoorns
mappable,mappable
mapped,in kaart gebracht
mapper,mapper
mappers,kaartenmakers
mapping,in kaart brengen
mappings,mappings
maps,kaarten
maputo,Maputo
maquettes,maquettes
mar,bederven
mara,mara
marathon,marathonloop
marathons,marathons
marauders,plunderaars
marauding,plunderend
marble,marmeren
marbled,gemarmerd
marbles,knikkers
march,maart
marched,marcheerden
marcher,marcherer
marchers,betogers
marches,marsen
marching,het marcheren
marchioness,markiezin
mare,merrie
mares,merries
margarine,margarine
margarines,margarines
margate,margate
margin,marge
marginal,marginaal
marginalia,kanttekeningen
marginalisation,marginalisering
marginalise,marginaliseren
marginalised,gemarginaliseerd
marginalises,marginaliseert
marginalising,marginalisering
marginality,marginaliteit
marginally,marginaal
marginals,marginalen
margins,marges
maria,maria
marigold,goudsbloem
marigolds,goudsbloemen
marijuana,marihuana
marina,jachthaven
marinade,marinade
marinas,jachthavens
marinate,marineren
marinated,gemarineerd
marine,marinier
mariner,zeeman
mariners,zeelieden
marines,marines
marionette,marionet
marionettes,marionetten
marital,echtelijk
maritime,maritiem
mark,Mark
marked,gemarkeerd
markedly,aanmerkelijk
marker,markeerstift
markers,markers
market,markt
marketability,verkoopbaarheid
marketable,verkoopbaar
marketed,op de markt gebracht
marketeer,marketeer
marketeers,marketeers
marketer,marketeer
marketing,afzet
marketplace,marktplaats
markets,markten
marking,het merken
markings,markeringen
marks,merken
marksman,scherpschutter
marksmanship,scherpschutterkunst
marksmen,sportschutters
markup,markup
markups,markeringen
marl,mergel
marls,marls
marmalade,marmelade
marmoset,soort Zuidafrikaanse aap
marmosets,marmosets
marmot,marmot
marmots,marmotten
maroon,kastanjebruin
marooned,gestrand
marooning,marooning
maroons,marrons
marque,marque
marquee,grote tent
marquees,feesttenten
marques,marques
marquess,markies
marquetry,inlegwerk
marquis,markies
marred,ontsierd
marriage,huwelijk
marriageable,huwbaar
marriages,huwelijken
married,getrouwd
marries,trouwt
marring,ontsierende
marrow,merg
marrows,De pompoenen
marry,trouwen
marrying,trouwen
mars,Mars
marsala,Marsala
marsh,moeras
marshal,maarschalk
marshalled,marshalled
marshaller,marshaller
marshalling,marshalling
marshals,marshals
marshes,moerassen
marshgas,marshgas
marshier,marshier
marshiest,marshiest
marshiness,moeras
marshland,moerasland
marshmallow,heemst
marshmallows,marshmallows
marshy,moerassig
marsupial,buideldier
marsupials,buideldieren
mart,markt
marten,marter
martens,martens
martial,krijgshaftig
martian,Mars
martians,marsmannetjes
martin,Martin
martinet,strenge meester
martingale,martingaal
martingales,martingales
martini,martini
martins,martins
martyr,martelaar
martyrdom,marteldood
martyred,gemarteld
martyrs,martelaren
martyry,martyry
marvel,wonder
marvelled,verwonderd
marvelling,verwonderend
marvellous,wonderbaar
marvellously,verbazend
marvels,wonderen
marx,marx
marxism,marxisme
marxist,marxist
marxists,marxisten
mary,Maria
marzipan,marsepein
mas,mas
mascara,mascara
mascot,mascotte
mascots,mascottes
masculine,mannelijk
masculinity,mannelijkheid
maser,maser
maseru,Maseru
mash,beslag
mashed,gestampt
masher,stamper
mashing,pureren
mask,masker
masked,gemaskerd
masking,masking
masks,maskers
masochism,masochisme
masochist,masochist
masochistic,masochistische
masochistically,masochistisch
masochists,masochisten
mason,metselaar
masonic,vrijmetselaars
masonry,metselwerk
masons,metselaars
masque,masker
masquerade,maskerade
masqueraded,masqueraded
masquerades,maskerades
masquerading,masquerading
masques,masques
mass,massa
massacre,bloedbad
massacred,afgeslacht
massacres,moordpartijen
massacring,moordpartijen
massage,massage
massaged,gemasseerd
massager,stimulator
massages,massages
massaging,masseren
massed,vergaap
masses,massa's
masseur,masseur
masseurs,masseurs
masseuse,masseuse
masseuses,masseuses
massif,berggroep
massing,groepeert
massive,massief
massively,massief
massless,massaloze
massproduced,massproduced
massproducing,massproducing
mast,mast
mastectomy,mastectomie
masted,mast
master,meester
masterclass,masterclass
mastered,de knie
masterful,meesterlijk
masterfully,meesterlijk
mastering,mastering
masterly,meesterlijk
mastermind,brein
masterminded,brein
masterminding,brein
masterpiece,meesterwerk
masterpieces,meesterwerken
masters,masters
mastership,meesterschap
masterwork,meesterwerk
masterworks,meesterwerken
mastery,meesterschap
masthead,top van de mast
masticating,masticating
mastication,het kauwen
mastiff,bulhond
mastitis,mastitis
mastodon,mastodont
mastodons,mastodonten
mastoid,mastoid
mastoids,mastoids
masts,masten
mat,mat
matador,matador
matadors,matadors
match,bij elkaar passen
matchable,matchable
matchbox,luciferdoosje
matchboxes,luciferdoosjes
matched,geëvenaard
matcher,matcher
matches,wedstrijden
matching,bij elkaar passen
matchless,weergaloos
matchmaker,koppelaarster
matchmaking,matchmaking
matchplay,matchplay
matchstick,luciferhoutje
matchsticks,lucifers
mate,stuurman
mated,gedekt
mater,mater
material,materiaal
materialisation,materialisatie
materialise,materialiseren
materialised,gematerialiseerd
materialises,materialiseert
materialising,materialiseren
materialism,materialisme
materialist,materialist
materialistic,materialistisch
materialistically,materialistisch
materialists,materialisten
materiality,materialiteit
materially,wezenlijk
materials,materialen
maternal,moederlijk
maternally,moederdier
maternity,moederschap
mates,mates
math,wiskunde
mathematical,wiskundig
mathematically,mathematisch
mathematician,wiskundige
mathematicians,wiskundigen
mathematics,wiskunde
maths,wiskunde
matinee,matinee
matinees,matinees
mating,paring
matings,paringen
matins,metten
matriarch,stamhoofd
matriarchal,matriarchaal
matriarchies,matriarchaten
matriarchy,vrouwelijkheid
matrices,matrices
matriculate,zich laten inschrijven
matriculated,matriculated
matriculating,matriculating
matriculation,toelatingsexamen
matrilineal,matrilineal
matrimonial,huwelijks
matrimonially,Matrimonially
matrimony,huwelijk
matrix,Matrix
matrixes,matrixen
matron,matrone
matronly,matronenachtig
matrons,matrons
mats,matten
matt,mat
matte,matte
matted,gemat
matter,er toe doen
mattered,telde
mattering,toedoen
matteroffact,matteroffact
matters,aangelegenheden
matthew,Matthew
matting,matwerk
mattress,matras
mattresses,matrassen
maturation,rijping
maturational,rijpingsproces
mature,volwassen
matured,gerijpt
maturely,weloverwogen
maturer,rijper
matures,rijpt
maturing,rijping
maturity,rijpheid
maudlin,overdreven sentimenteel
maul,moker
mauled,verscheurd
mauler,iem. die grof is
maulers,Maulers
mauling,verscheuring
mauls,mauls
maumau,Maumau
mausoleum,mausoleum
mausoleums,mausolea
mauve,mauve
maverick,non-conformist
mavericks,buitenbeentjes
maw,muil
mawkish,sentimenteel
mawkishness,zoetheid
maxi,maxi
maxim,Maxim
maxima,maxima
maximal,maximaal
maximality,maximaliteit
maximally,maximaal
maximisation,maximalisatie
maximise,maximaliseren
maximised,gemaximaliseerd
maximiser,maximiser
maximises,Maximaliseert
maximising,maximaliseren
maxims,stelregels
maximum,maximum
may,mei
maya,Maya
mayas,mayas
maybe,kan zijn
mayday,mayday
maydays,maydays
mayflies,eendagsvliegen
mayflower,mayflower
mayfly,mayfly
mayhap,mayhap
mayhem,verminking
mayonnaise,mayonaise
mayor,burgemeester
mayoral,mayoral
mayoralty,burgemeesterschap
mayoress,burgemeestersvrouw
mayors,burgemeesters
maypole,meiboom
maze,doolhof
mazes,doolhoven
mazier,Mazier
maziest,maziest
mazurka,mazurka
mazy,mazy
mbabane,Mbabane
me,me
mead,mede
meadow,weide
meadowland,weilanden
meadows,weiden
meagre,mager
meagrely,meagrely
meagreness,magerheid
meal,maaltijd
mealie,mealie
mealies,maïs
meals,maaltijden
mealtime,etenstijd
mealtimes,maaltijden
mealy,melig
mean,gemiddelde
meander,slingeren
meandered,kronkelde
meandering,meanderende
meanderings,meanderings
meanders,meanders
meaner,gemener
meanest,gemeenste
meanie,gemenerik
meanies,meanies
meaning,betekenis
meaningful,belangrijk
meaningfully,betekenisvol
meaningfulness,zinvolheid
meaningless,zinloos
meaninglessly,meaninglessly
meaninglessness,zinledigheid
meanings,betekenissen
meanly,gemeen
meanness,gemeenheid
means,middelen
meant,bedoelde
meantime,ondertussen
meanwhile,ondertussen
meany,meany
measles,mazelen
measly,miezerig
measurable,meetbaar
measurably,meetbaar
measure,maatregel
measured,afgemeten
measureless,onmetelijk
measurement,meting
measurements,afmetingen
measures,maatregelen
measuring,meten
meat,vlees
meataxe,meataxe
meatball,gehaktbal
meatballs,gehaktballen
meatier,meatier
meatiest,meatiest
meatless,zonder vlees
meatpie,vleestaart
meats,vleeswaren
meaty,vlezig
mecca,mekka
mechanic,monteur
mechanical,mechanisch
mechanically,mechanisch
mechanicals,mechaniek
mechanics,mechanica
mechanisable,mechanisable
mechanisation,mechanisatie
mechanise,mechaniseren
mechanised,gemechaniseerde
mechanising,mechaniseren
mechanism,mechanisme
mechanisms,mechanismen
mechanist,machinebouwer
mechanistic,mechanistisch
mechanistically,mechanistisch
medal,medaille
medallion,medaillon
medallions,medaillons
medallist,medaillewinnaar
medallists,medaillewinnaars
medals,medailles
meddle,zich bemoeien
meddled,meddled
meddler,bemoeial
meddlers,regelneven
meddles,bemoeit
meddlesome,bemoeiziek
meddling,bemoeizucht
media,media
mediaeval,middeleeuws
medial,midden
medially,mediaal
median,mediaan
medians,medianen
mediate,bemiddelen
mediated,gemedieerde
mediates,bemiddelt
mediating,bemiddelen
mediation,bemiddeling
mediator,bemiddelaar
mediators,mediators
mediatory,bemiddelend
medic,medisch
medical,medisch
medically,medisch
medicals,medisch onderzoek
medicate,geneeskundig behandelen
medicated,medicinale
medication,geneesmiddel
medications,medicijnen
medicinal,geneeskrachtig
medicine,geneeskunde
medicines,medicijnen
medics,medici
medieval,middeleeuws
medievalist,mediëvist
medievalists,middeleeuwers
mediocre,middelmatig
mediocrity,middelmatigheid
meditate,mediteren
meditated,mediteerden
meditates,mediteert
meditating,mediteren
meditation,meditatie
meditations,meditaties
meditative,meditatieve
meditatively,meditatief
meditator,mediterende
medium,medium
mediums,mediums
mediumsized,middelgroot
medlar,mispel
medley,mengeling
medleys,medleys
medulla,merg
medusa,kwal
meek,zachtmoedig
meeker,Meeker
meekest,zachtmoedigste
meekly,gedwee
meekness,zachtmoedigheid
meet,ontmoeten
meeter,meeter
meeting,vergadering
meetings,vergaderingen
meets,voldoet aan
mega,mega
megabyte,megabyte
megabytes,megabytes
megahertz,megahertz
megajoules,megajoule
megalith,megaliet
megalithic,megalithische
megalomania,grootheidswaanzin
megalomaniac,megalomane
megalomaniacs,megalomaniacs
megaparsec,megaparsec
megaphone,megafoon
megastar,megaster
megaton,megaton
megatons,megaton
megavolt,megavolt
megawatt,megawatt
megawatts,megawatt
meiosis,meiosis
meiotic,meiotische
melancholia,melancholie
melancholic,melancholicus
melancholies,melancholies
melancholy,weemoed
melange,melange
melanin,melanine
melanoma,melanoma
melanomas,melanomen
melatonin,melatonine
meld,roemen
melee,melee
mellifluous,honingzoet
mellifluously,mellifluously
mellifluousness,welluidendheid
mellow,zacht
mellowed,milder
mellower,mellower
mellowing,verzachting
mellows,mellows
melodic,melodieus
melodically,melodisch
melodies,melodieën
melodious,melodieus
melodiously,melodieus
melodrama,melodrama
melodramas,melodrama
melodramatic,melodramatisch
melodramatically,melodramatisch
melody,melodie
melon,meloen
melons,meloenen
melt,smelten
meltdown,kernsmelting
melted,gesmolten
melter,smelter
melting,smeltend
melts,smelt
member,lid
members,leden
membership,lidmaatschap
memberships,lidmaatschappen
membrane,membraan
membranes,membranen
memento,aandenken
memo,memo
memoir,gedenkschrift
memoirs,memoires
memorabilia,memorabilia
memorable,gedenkwaardig
memorably,memorably
memoranda,memoranda
memorandum,memorandum
memorandums,memoranda
memorial,gedenkteken
memorials,gedenktekens
memories,herinneringen
memorisation,memorisatie
memorise,memoriseren
memorised,gememoriseerd
memorises,Slaat
memorising,onthouden
memory,geheugen
memphis,Memphis
men,mannen
menace,bedreiging
menaced,bedreigd
menaces,bedreigingen
menacing,dreigend
menacingly,menacingly
menagerie,menagerie
menarche,menarche
mend,beteren
mendacious,leugenachtig
mendacity,leugenachtigheid
mended,gerepareerd
mendel,Mendel
mendelevium,mendelevium
mender,hersteller
menders,Menders
mendicant,bedelmonnik
mending,verstelwerk
mends,mends
menfolk,manvolk
menhir,menhir
menhirs,menhirs
menial,huurling
meningitis,hersenvliesontsteking
meniscus,meniscus
menopausal,menopauze
menopause,menopauze
menorah,menorah
menstrual,menstruatie
menstruating,menstruerende
menstruation,menstruatie
menswear,herenkleding
mental,geestelijk
mentalistic,mentalistische
mentalities,mentaliteiten
mentality,mentaliteit
mentally,geestelijk
menthol,mentol
mention,noemen
mentionable,mentionable
mentioned,vermeld
mentioning,vermelden
mentions,vermeldt
mentor,mentor
mentors,mentoren
menu,menu
menus,menus
meow,mauw
meows,miauwen
mercantile,handels
mercenaries,huurlingen
mercenary,huurling
merchandise,handelswaar
merchandising,merchandising
merchant,handelaar
merchantability,verkoopbaarheid
merchantable,verkoopbaar
merchantman,koopvaardijschip
merchantmen,koopvaarders
merchants,kooplieden
mercies,barmhartigheden
merciful,barmhartig
mercifully,genadig
merciless,meedogenloos
mercilessly,Genadeloos
mercurial,kwikmiddel
mercuric,kwik
mercury,kwik
mercy,genade
mere,louter
merely,alleen
merest,geringste
meretricious,ontuchtig
merge,samensmelten
merged,samengevoegd
merger,fusie
mergers,fusies
merges,samenvoegingen
merging,samenvoegen
meridian,meridiaan
meridians,meridianen
meridional,zuidelijk
meringue,schuimgebakje
meringues,meringues
merino,merino
merit,verdienste
merited,verdiend
meriting,het verdienen van
meritocracy,meritocratie
meritocratic,meritocratische
meritocrats,meritocrats
meritorious,verdienstelijk
merits,merites
mermaid,meermin
mermaids,zeemeerminnen
merman,meerman
mermen,meermannen
meromorphic,meromorphic
merrier,merrier
merriest,vrolijkste
merrily,vrolijk
merriment,vreugde
merry,vrolijk
merrygoround,merrygoround
merrygorounds,merrygorounds
merrymaking,vrolijkheid
mescaline,mescaline
mesh,maas
meshed,mazen
meshes,mazen
meshing,meshing
mesmeric,hypnotisch
mesmerised,gebiologeerd
mesmerising,betoverende
mesolithic,Mesoliticum
meson,meson
mesons,mesonen
mesosphere,mesosphere
mesozoic,mesozoïcum
mess,knoeien
message,bericht
messages,berichten
messaging,messaging
messed,messed
messenger,boodschapper
messengers,boodschappers
messes,knoeit
messiah,Messias
messier,Messier
messiest,messiest
messily,messily
messiness,messiness
messing,knoeien
messy,rommelig
mestizo,mesties
met,leerde kennen
metabolic,stofwisselings
metabolically,metabolisch
metabolise,metaboliseren
metabolised,gemetaboliseerd
metabolises,metaboliseert
metabolism,metabolisme
metabolisms,stofwisseling
metal,metaal
metalanguage,metataal
metalinguistic,metalinguïstische
metalled,kei
metallic,metalen
metallised,gemetalliseerde
metallurgical,metallurgisch
metallurgist,metallurgist
metallurgy,metallurgie
metals,metalen
metalwork,metaalbewerking
metalworking,metaalbewerking
metamorphic,metamorfe
metamorphism,metamorfose
metamorphose,metamorfose
metamorphosed,gemetamorfoseerde
metamorphoses,metamorfoses
metamorphosis,metamorfose
metaphor,metafoor
metaphoric,metaforische
metaphorical,figuurlijk
metaphorically,figuurlijk
metaphors,metaforen
metaphysical,metafysisch
metaphysically,metafysisch
metaphysics,metafysica
metastability,metastabiliteit
metastable,metastabiele
metastases,metastasen
metastasis,metastasis
metastatic,metastatische
metatarsal,middenvoetsbeentje
meted,meted
metempsychosis,zielsverhuizing
meteor,meteoor
meteoric,bliksemsnel
meteorite,meteoriet
meteorites,meteorieten
meteoritic,meteorieten
meteorological,meteorologisch
meteorologist,meteoroloog
meteorologists,meteorologen
meteorology,meteorologie
meteors,meteoren
meter,meter
metered,afgemeten
metering,meting
meters,meter
methadone,methadon
methane,methaan
methanol,methanol
methionine,methionine
method,methode
methodical,methodisch
methodically,methodisch
methodological,methodologische
methodologically,methodologisch
methodologies,methodologieën
methodology,methodologie
methods,methoden
methyl,methyl
methylated,gemethyleerde
methylene,methyleen
meticulous,nauwkeurig
meticulously,minutieus
metier,metier
metonymic,metonymische
metonymy,metonymie
metre,meter
metres,meter
metric,metriek
metrical,metrisch
metrically,metrisch
metrication,versificatie
metrics,metriek
metro,metro
metronome,metronoom
metronomes,metronomen
metronomic,metronomic
metropolis,metropolis
metropolises,metropolen
metropolitan,metropolitaans
mettle,moed
mew,miauwen
mewing,miauwen
mews,stallen
mexican,Mexicaans
mexicans,mexicanen
mexico,Mexico
mezzanine,tussenverdieping
mezzosoprano,mezzosopraan
miami,miami
miasma,miasma
mica,mica
mice,muizen
micelles,micellen
michigan,Michigan
